"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene"
"HLA-DPB1","7.57754567123775e-43","-0.285182191695497","0.557","0.73","1.12352269667442e-38","HLA-DPB1"
"ARPC5","1.21902090314089e-42","-0.25934993193319","0.377","0.56","1.80744229308699e-38","ARPC5"
"PGK1","1.90752263798606e-42","-0.307298517876865","0.259","0.419","2.82828381534193e-38","PGK1"
"SAMSN1","1.91735778361914e-42","-0.295615033318005","0.088","0.19","2.8428663857721e-38","SAMSN1"
"SNAPC3","2.41900906523262e-42","-0.228900500865898","0.014","0.059","3.58666474102041e-38","SNAPC3"
"MYO1G","4.87487666233492e-42","-0.280615819472366","0.12","0.239","7.22797962724399e-38","MYO1G"
"SEPT9","9.62526793877127e-42","-0.288523140157002","0.128","0.249","1.42713847728162e-37","SEPT9"
"TMEM120B","1.0211945021016e-41","-0.256617920279064","0.01","0.049","1.51412508826604e-37","TMEM120B"
"WASF2","1.16970335034941e-41","-0.300252424487025","0.161","0.294","1.73431915756308e-37","WASF2"
"SH3BGRL","1.75847596383831e-41","-0.272769170162547","0.302","0.474","2.60729231158307e-37","SH3BGRL"
"MGLL","5.53137428130203e-41","-0.197506038109399","0.012","0.053","8.20136864688652e-37","MGLL"
"PAG1","6.64890412956007e-41","-0.286770488536323","0.041","0.111","9.85833015289871e-37","PAG1"
"S100A6","7.40037414156885e-41","0.154727863379713","0.992","0.992","1.09725347397041e-36","S100A6"
"CASP3","1.74840163760607e-40","-0.237713822121324","0.016","0.062","2.59235510807852e-36","CASP3"
"LILRB1","1.78105679002987e-40","-0.270626378305029","0.047","0.122","2.64077290257729e-36","LILRB1"
"FBP1","2.13226659707505e-40","-0.331337701825264","0.074","0.165","3.16151168348318e-36","FBP1"
"PCGF5","2.74429783534793e-40","-0.302052306796939","0.089","0.188","4.06897040047038e-36","PCGF5"
"C14orf2","3.57467384477337e-40","0.342006725424783","0.741","0.72","5.30016890964547e-36","C14orf2"
"TPM3","4.48212519085897e-40","-0.286400903332979","0.316","0.479","6.64564702048659e-36","TPM3"
"RAB10","7.76933661800551e-40","-0.274234920567532","0.098","0.203","1.15195954035168e-35","RAB10"
"FKBP1A","9.70599510608128e-40","-0.26329515316619","0.435","0.609","1.43910789437867e-35","FKBP1A"
"CYFIP2","1.32153624426833e-39","-0.216964631703798","0.016","0.063","1.95944178937665e-35","CYFIP2"
"LILRA5","1.5903970181792e-39","-0.269362329138959","0.188","0.326","2.3580816588543e-35","LILRA5"
"CUX1","2.40584409251061e-39","-0.299254199784209","0.084","0.18","3.56714503596549e-35","CUX1"
"PHTF2","4.39061773299734e-39","-0.228584741314024","0.02","0.071","6.50996891271516e-35","PHTF2"
