metavar,cluster,gene,statistic,p.value,FDR
dx,all,CLSPN,19,0.372727272727273,0.474032634032634
dx,all,CLSTN3,14,1,1
dx,all,CLU,16,0.727272727272727,0.761831621388116
dx,all,CMC1,19,0.372727272727273,0.474032634032634
dx,all,CMSS1,19,0.372727272727273,0.474032634032634
dx,all,CMTM2,15,0.863636363636364,0.884135472370766
dx,all,CMTM3,19,0.372727272727273,0.474032634032634
dx,all,CMTM5,8,0.372727272727273,0.474032634032634
dx,all,CNGA1,19,0.372727272727273,0.474032634032634
dx,all,CNN3,4,0.1,0.474032634032634
dx,all,CNOT6L,20,0.281818181818182,0.474032634032634
dx,all,CNR2,19,0.372727272727273,0.474032634032634
dx,all,CNST,19,0.372727272727273,0.474032634032634
dx,all,COASY,19,0.372727272727273,0.474032634032634
dx,all,COBLL1,19,0.372727272727273,0.474032634032634
dx,all,COG7,19,0.372727272727273,0.474032634032634
dx,all,COMTD1,19,0.372727272727273,0.474032634032634
dx,all,COPZ2,19,0.372727272727273,0.474032634032634
dx,all,COQ10A,19,0.372727272727273,0.474032634032634
dx,all,COQ3,20,0.281818181818182,0.474032634032634
dx,all,COTL1,12,0.863636363636364,0.884135472370766
dx,all,COX20,20,0.281818181818182,0.474032634032634
dx,all,CPM,19,0.372727272727273,0.474032634032634
dx,all,CPVL,9,0.481818181818182,0.557067175248993
dx,all,CPXM1,24,0.0636363636363636,0.474032634032634
dx,all,CRB1,23,0.1,0.474032634032634
dx,all,CREB3,19,0.372727272727273,0.474032634032634
dx,all,CREB5,18,0.481818181818182,0.557067175248993
dx,all,CREM,19,0.372727272727273,0.474032634032634
dx,all,CRIM1,8,0.372727272727273,0.474032634032634
dx,all,CRIP1,13,1,1
dx,all,CRIP3,18,0.481818181818182,0.557067175248993
dx,all,CSAD,19,0.372727272727273,0.474032634032634
dx,all,CSF1R,22,0.145454545454545,0.474032634032634
dx,all,CSNK1G1,20,0.281818181818182,0.474032634032634
dx,all,CSPP1,19,0.372727272727273,0.474032634032634
dx,all,CST3,11,0.727272727272727,0.761831621388116
dx,all,CST7,8,0.372727272727273,0.474032634032634
dx,all,CTDSPL,25,0.0363636363636364,0.474032634032634
dx,all,CTNNB1,14,1,1
dx,all,CTNS,20,0.281818181818182,0.474032634032634
dx,all,CTSC,16,0.727272727272727,0.761831621388116
dx,all,CTSG,19,0.372727272727273,0.474032634032634
dx,all,CTSL,19,0.372727272727273,0.474032634032634
dx,all,CTSW,6,0.209090909090909,0.474032634032634
dx,all,CWC15,17,0.6,0.650491803278689
dx,all,CWC27,19,0.372727272727273,0.474032634032634
dx,all,CWF19L2,21,0.209090909090909,0.474032634032634
dx,all,CX3CR1,18,0.481818181818182,0.557067175248993
dx,all,CXCL1,4,0.0955109237789025,0.474032634032634
dx,all,CXCL10,19,0.372727272727273,0.474032634032634
dx,all,CXCL11,3,0.0636363636363636,0.474032634032634
dx,all,CXCL16,17,0.6,0.650491803278689
dx,all,CXCL2,19,0.372727272727273,0.474032634032634
dx,all,CXCL3,19,0.372727272727273,0.474032634032634
dx,all,CXCL5,25,0.0363636363636364,0.474032634032634
dx,all,CXCL9,18,0.481818181818182,0.557067175248993
dx,all,CXCR4,20,0.281818181818182,0.474032634032634
dx,all,CXXC1,20,0.281818181818182,0.474032634032634
dx,all,CXXC5,20,0.281818181818182,0.474032634032634
dx,all,CXorf21,19,0.372727272727273,0.474032634032634
dx,all,CYB5D2,20,0.281818181818182,0.474032634032634
dx,all,CYCS,16,0.727272727272727,0.761831621388116
dx,all,CYP1B1,21,0.209090909090909,0.474032634032634
dx,all,CYP27A1,20,0.281818181818182,0.474032634032634
dx,all,CYP4F22,23,0.1,0.474032634032634
dx,all,CYP4V2,20,0.281818181818182,0.474032634032634
dx,all,CYSLTR2,21,0.209090909090909,0.474032634032634
dx,all,CYTIP,19,0.372727272727273,0.474032634032634
dx,all,DAAM1,19,0.372727272727273,0.474032634032634
dx,all,DAB2,19,0.372727272727273,0.474032634032634
dx,all,DALRD3,18,0.481818181818182,0.557067175248993
dx,all,DARS,20,0.281818181818182,0.474032634032634
dx,all,DBP,19,0.372727272727273,0.474032634032634
dx,all,DCBLD2,22,0.145454545454545,0.474032634032634
dx,all,DCST1,10,0.6,0.650491803278689
dx,all,DDB2,21,0.209090909090909,0.474032634032634
dx,all,DDIT4,16,0.727272727272727,0.761831621388116
dx,all,DDX1,19,0.372727272727273,0.474032634032634
dx,all,DDX11,21,0.209090909090909,0.474032634032634
dx,all,DDX23,21,0.209090909090909,0.474032634032634
dx,all,DDX3Y,18,0.481818181818182,0.557067175248993
dx,all,DDX59,19,0.372727272727273,0.474032634032634
dx,all,DDX6,19,0.372727272727273,0.474032634032634
dx,all,DECR1,21,0.209090909090909,0.474032634032634
dx,all,DEFB1,19,0.372727272727273,0.474032634032634
dx,all,DET1,20,0.281818181818182,0.474032634032634
dx,all,DFFA,19,0.372727272727273,0.474032634032634
dx,all,DHRS11,19,0.372727272727273,0.474032634032634
dx,all,DHRS7B,19,0.372727272727273,0.474032634032634
dx,all,DHRS9,20,0.281818181818182,0.474032634032634
dx,all,DHX16,20,0.281818181818182,0.474032634032634
dx,all,DHX30,20,0.281818181818182,0.474032634032634
dx,all,DHX57,19,0.372727272727273,0.474032634032634
dx,all,DHX58,16,0.727272727272727,0.761831621388116
dx,all,DIAPH2,19,0.372727272727273,0.474032634032634
dx,all,DKC1,18,0.481818181818182,0.557067175248993
dx,all,DMTN,8,0.372727272727273,0.474032634032634
dx,all,DNAJA4,19,0.372727272727273,0.474032634032634
dx,all,DNAJB5,20,0.281818181818182,0.474032634032634
dx,all,DNAJB9,19,0.372727272727273,0.474032634032634
dx,all,DNAJC11,19,0.372727272727273,0.474032634032634
dx,all,DNAJC12,14,1,1
dx,all,DNAJC13,20,0.281818181818182,0.474032634032634
dx,all,DNAL4,23,0.1,0.474032634032634
dx,all,DNASE2,18,0.481818181818182,0.557067175248993
dx,all,DNPH1,17,0.6,0.650491803278689
